recipe_id,recipe_name,capture,video,step_a,a_start,a_end,step_b,b_start,b_end,overlap_start,overlap_end,overlap_duration,verdict,note
P09_R05,Mango Lassi,0,P09-20240623-120359,P09_R05_S01,1456.67,1467.20,P09_R05_S02,1467.12,1496.14,1467.12,1467.20,0.08,,
P09_R05,Mango Lassi,0,P09-20240623-120359,P09_R05_S01,1641.58,1650.85,P09_R05_S02,1650.82,1652.11,1650.82,1650.85,0.03,,
P09_R05,Mango Lassi,0,P09-20240623-120359,P09_R05_S01,2182.80,2187.47,P09_R05_S02,2187.39,2188.17,2187.39,2187.47,0.08,,
P09_R05,Mango Lassi,0,P09-20240623-120359,P09_R05_S01,2206.64,2211.20,P09_R05_S02,2211.10,2212.15,2211.10,2211.20,0.10,,
P09_R05,Mango Lassi,0,P09-20240623-120359,P09_R05_S01,2231.22,2245.74,P09_R05_S02,2245.63,2248.79,2245.63,2245.74,0.11,,
P09_R05,Mango Lassi,0,P09-20240623-120359,P09_R05_S01,2250.95,2258.66,P09_R05_S02,2258.65,2261.15,2258.65,2258.66,0.01,,
P09_R04,Mangsho Bhuna,0,P09-20240623-120359,P09_R04_S01,719.78,721.92,P09_R04_S02,717.47,719.83,719.78,719.83,0.04,,
P09_R04,Mangsho Bhuna,0,P09-20240623-120359,P09_R04_S07,1709.00,1718.99,P09_R04_S08,1700.36,1710.54,1709.00,1710.54,1.54,,
P09_R04,Mangsho Bhuna,0,P09-20240623-120359,P09_R04_S07,1709.00,1718.99,P09_R04_S08,1711.92,1717.02,1711.92,1717.02,5.10,,
P05_R01,Chickpea and Spinach Curry with Rice,0,P05-20240423-170021,P05_R01_S02,1077.82,1081.96,P05_R01_S03,1077.93,1080.23,1077.93,1080.23,2.30,,
P05_R01,Chickpea and Spinach Curry with Rice,0,P05-20240423-180529,P05_R01_S09,677.01,720.91,P05_R01_S11,675.00,723.99,677.01,720.91,43.90,,
P09_R02,Chicken Cheese Balls,0,P09-20240622-150155,P09_R02_S01,1336.00,1364.22,P09_R02_S03,1364.21,1364.73,1364.21,1364.22,0.01,,
P09_R02,Chicken Cheese Balls,0,P09-20240622-150155,P09_R02_S01,1336.00,1364.22,P09_R02_S03,1364.03,1398.20,1364.03,1364.22,0.19,,
P01_R07,Vermicelli Rice with Meat,0,P01-20240204-145458,P01_R07_S01,511.75,540.97,P01_R07_S02,511.00,513.99,511.75,513.99,2.24,,
P02_R02,Sauteed Potatoes,0,P02-20240209-184316,P02_R02_S05,1193.00,1197.99,P02_R02_S06,1197.00,1208.99,1197.00,1197.99,0.99,,
P06_R01,Uttapam Pancake,0,P06-20240510-090328,P06_R01_S04,1074.36,1117.80,P06_R01_S05,1081.04,1119.84,1081.04,1117.80,36.76,,
P05_R03,Pesto,0,P05-20240424-171038,P05_R03_S05,1003.13,1031.19,P05_R03_S06,1031.15,1052.62,1031.15,1031.19,0.04,,
P08_R03,Scrambled Eggs,0,P08-20240614-085000,P08_R03_S02,394.26,396.18,P08_R03_S03,382.00,396.99,394.26,396.18,1.93,,
P08_R03,Scrambled Eggs,0,P08-20240614-085000,P08_R03_S03,513.00,585.99,P08_R03_S07,564.88,571.19,564.88,571.19,6.31,,
P08_R03,Scrambled Eggs,0,P08-20240614-085000,P08_R03_S04,703.08,720.63,P08_R03_S05,720.60,753.28,720.60,720.63,0.03,,
P08_R09,Crispy Cucumber Salad,0,P08-20240622-141902,P08_R09_S01,121.52,168.01,P08_R09_S02,167.97,169.17,167.97,168.01,0.04,,
P06_R03,Kadhai Paneer,0,P06-20240510-104642,P06_R03_S03,1427.74,1439.41,P06_R03_S04,1411.24,1441.46,1427.74,1439.41,11.67,,
P06_R03,Kadhai Paneer,0,P06-20240510-104642,P06_R03_S03,1489.66,1494.02,P06_R03_S04,1492.22,1508.77,1492.22,1494.02,1.80,,
P06_R03,Kadhai Paneer,0,P06-20240510-104642,P06_R03_S05,2243.03,2245.74,P06_R03_S06,2243.81,2294.87,2243.81,2245.74,1.93,,
P08_R02,Chopped Salad and Bread,0,P08-20240613-123547,P08_R02_S04,967.69,968.64,P08_R02_S05,968.60,969.75,968.60,968.64,0.04,,
